,Artist,Rating,Song,Year
0,Percy Faith,1,Theme From “A Summer Place”,1960
1,Jim Reeves,2,He’ll Have To Go,1960
2,Everly Brothers,3,Cathy’s Clown,1960
3,Johnny Preston,4,Running Bear,1960
4,Mark Dinning,5,Teen Angel,1960
5,Brenda Lee,6,I’m Sorry,1960
6,Elvis Presley,7,It’s Now Or Never,1960
7,Jimmy Jones,8,Handy Man,1960
8,Elvis Presley,9,Stuck On You,1960
9,Chubby Checker,10,The Twist,1960
10,Connie Francis,11,Everybody’s Somebody’s Fool,1960
11,Bobby Rydell,12,Wild One,1960
12,Brothers Four,13,Greenfields,1960
13,Jack Scott,14,What In The World’s Come Over You,1960
14,Marty Robbins,15,El Paso,1960
15,Hollywood Argyles,16,Alley-oop,1960
16,Connie Francis,17,My Heart Has A Mind Of Its Own,1960
17,Brenda Lee,18,Sweet Nothin’s,1960
18,Brian Hyland,19,Itsy Bitsy Teenie Weenie Yellow Polkadot Bikini,1960
19,Roy Orbison,20,Only The Lonely,1960
20,Dion and The Belmonts,21,Where Or When,1960
21,Connie Stevens,22,Sixteen Reasons,1960
22,Paul Anka,23,Puppy Love,1960
23,Frankie Avalon,24,Why,1960
24,Ventures,25,"Walk, Dont Run",1960
25,Drifters,26,Save The Last Dance For Me,1960
26,Brook Benton and Dinah Washington,27,Baby (You Got What It Takes),1960
27,Johnny Horton,28,Sink The Bismark,1960
28,Sam Cooke,29,Chain Gang,1960
29,Everly Brothers,30,Let It Be Me,1960
30,Jimmy Jones,31,Good Timin’,1960
31,Bobby Darin,32,Beyond The Sea,1960
32,Jimmy Clanton,33,Go Jimmy Go,1960
33,Jackie Wilson,34,Night,1960
34,Jack Scott,35,Burning Bridges,1960
35,Toni Fisher,36,The Big Hurt,1960
36,Duane Eddy,37,Because They’re Young,1960
37,Conway Twitty,38,Lonely Blue Boy,1960
38,Steve Lawrence,39,Pretty Blue Eyes,1960
39,Freddie Cannon,40,Way Down Yonder In New Orleans,1960
40,Anita Bryant,41,Paper Roses,1960
41,Larry Verne,42,Mr. Custer,1960
42,Brenda Lee,43,I Want To Be Wanted,1960
43,Fendermen,44,Mule Skinner Blues,1960
44,Johnny Preston,45,Cradle Of Love,1960
45,Marv Johnson,46,You’ve Got What It Takes,1960
46,Hank Locklin,47,"Please Help Me, I’m Falling",1960
47,Ron Holden,48,Love You So,1960
48,Hank Ballard and The Midnighters,49,Finger Poppin’ Time,1960
49,Platters,50,Harbor Lights,1960
50,Billy Bland,51,Let The Little Girl Dance,1960
51,Jeanne Black,52,He’ll Have To Stay,1960
52,Ferrante and Teicher,53,Theme From The Apartment,1960
53,Bobby Rydell,54,Volare (Nel Blu Dipinto Di Blu),1960
54,Jimmy Charles,55,A Million To One,1960
55,Andy Williams,56,The Village Of St. Bernadette,1960
56,The Browns,57,The Old Lamplighter,1960
57,Bill Black’s Combo,58,White Silver Sands,1960
58,Bobby Vee,59,Devil Or Angel,1960
59,Four Preps,60,Down By The Station,1960
60,Little Dippers,61,Forever,1960
61,Safaris and The Phantom’s Band,62,Image Of A Girl,1960
62,Brook Benton,63,Kiddio,1960
63,Donnie Brooks,64,Mission Bell,1960
64,Marv Johnson,65,I Love The Way You Love,1960
65,Paul Anka,66,It’s Time To Cry,1960
66,Ray Peterson,67,Tell Laura I Love Her,1960
67,Connie Francis,68,Mama,1960
68,Steve Lawrence,69,Footsteps,1960
69,Everly Brothers,70,So Sad,1960
70,Brenda Lee,71,That’s All You Gotta Do,1960
71,Fats Domino,72,Walking To New Orleans,1960
72,Connie Francis,73,Among My Souvenirs,1960
73,Bobby Rydell,74,Swingin’ School,1960
74,Dinah Washington and Brook Benton,75,A Rockin’ Good Way,1960
75,Neil Sedaka,76,Stairway To Heaven,1960
76,Paul Anka,77,My Home Town,1960
77,Ray Charles,78,Georgia On My Mind,1960
78,Skip and Flip,79,Cherry Pie,1960
79,Sam Cooke,80,Wonderful World,1960
80,Spencer Ross,81,Tracy’s Theme,1960
81,Lloyd Price,82,Lady Luck,1960
82,Crests,83,Step By Step,1960
83,Paul Evans,84,Happy-Go-Lucky Me,1960
84,Ricky Nelson,85,Young Emotions,1960
85,Johnny Burnette,86,Dreamin’,1960
86,Johnny Tillotson,87,Poetry In Motion,1960
87,Annette,88,O Dio Mio,1960
88,Joe Jones,89,You Talk Too Much,1960
89,Johnny and The Hurricanes,90,Beatnik Fly,1960
90,Everly Brothers,91,When Will I Be Loved,1960
91,Bob Luman,92,Let’s Think About Livin’,1960
92,Guy Mitchell,93,Heartaches By The Number,1960
93,Anita Bryant,94,In My Little Corner Of The World,1960
94,Jackie Wilson,95,Doggin’ Around,1960
95,Bobby Rydell,96,Little Bitty Girl,1960
96,Barret Strong,97,Money,1960
97,Maurice Williams,98,Stay,1960
98,Charlie Rich,99,Lonely Weekends,1960
99,Larry Hall,100,Sandy,1960
0,Bobby Lewis,1,Tossin’ And Turnin’,1961
1,Patsy Cline,2,I Fall To Pieces,1961
2,Highwaymen,3,Michael,1961
3,Roy Orbison,4,Cryin’,1961
4,Del Shannon,5,Runaway,1961
5,Jive Five,6,My True Story,1961
6,Chubby Checker,7,Pony Time,1961
7,String-a-longs,8,Wheels,1961
8,Dee Clark,9,Raindrops,1961
9,Joe Dowell,10,Wooden Heart (Muss I Denn),1961
10,Lawrence Welk,11,Calcutta,1961
11,Bobby Vee,12,Take Good Care Of My Baby,1961
12,Roy Orbison,13,Running Scared,1961
13,The Shirelles,14,Dedicated To The One I Love,1961
14,Mar-keys,15,Last Night,1961
15,Shirelles,16,(Will You Love Me) Tomorrow,1961
16,Ferrante and Teicher,17,Exodus,1961
17,Connie Francis,18,Where The Boys Are,1961
18,Ray Charles,19,Hit The Road Jack,1961
19,Sue Thompson,20,Sad Movies (Make Me Cry),1961
20,Ernie K-Doe,21,Mother-In-Law,1961
21,Dovells,22,Bristol Stomp,1961
22,Ricky Nelson,23,Travelin’ Man,1961
23,Miracles,24,Shop Around,1961
24,Brook Benton,25,The Boll Weevil Song,1961
25,Gene Mcdaniels,26,A Hundred Pounds Of Clay,1961
26,Dick and Deedee,27,The Mountain’s High,1961
27,Marty Robbins,28,Don’t Worry,1961
28,Floyd Cramer,29,On The Rebound,1961
29,Steve Lawrence,30,Portrait Op My Love,1961
30,Gary,31,Quarter To Three,1961
31,Barry Mann,32,"Who Put The Bomp (In The Bomp, Bomp, Bomp)",1961
32,Neil Sedaka,33,Calendar Girl,1961
33,Chris Kenner,34,I Like It Like That,1961
34,Jørgen Ingmann,35,Apache,1961
35,Linda Scott,36,Don’t Bet Money Honey,1961
36,Johnny Tillotson,37,Without You,1961
37,Ferlin Husky,38,Wings Of A Dove,1961
38,Elvis Presley,39,Little Sister,1961
39,Marcels,40,Blue Moon,1961
40,Shep and The Limelites,41,Daddy’s Home,1961
41,Troy Shondell,42,This Time,1961
42,Clarence “Frog Man” Henry,43,I Don’t Know Why But I Do,1961
43,Kokomo,44,Asia Minor,1961
44,Faron Young,45,Hello Walls,1961
45,Dion,46,Runaround Sue,1961
46,Arthur Lyman,47,Yellow Bird,1961
47,Timi Yuro,48,Hurt,1961
48,Ricky Nelson,49,Hello Mary Lou,1961
49,Capris,50,There’s A Moon Out Tonight,1961
50,Elvis Presley,51,Surrender,1961
51,Paris Sisters,52,I Love How You Love Me,1961
52,Lee Dorsey,53,Ya Ya,1961
53,Gary,54,School Is Out,1961
54,Bob Moore,55,Mexico,1961
55,Ral Donner,56,You Don’t Know What You’ve Got (Until You Lose It),1961
56,Everly Brothers,57,Walk Right Back,1961
57,Lettermen,58,The Way You Look Tonight,1961
58,Pat Boone,59,Moody River,1961
59,Ray Charles,60,One Mint Julep,1961
60,Adam Wade,61,Take Good Care Of Her,1961
61,Carla Thomas,62,Gee Whiz (Look At His Eyes),1961
62,Ben E. King,63,Stand By Me,1961
63,Ben E. King,64,Spanish Harlem,1961
64,Ike and Tina Turner,65,It’s Gonna Work Out Fine,1961
65,Echoes,66,Baby Blue,1961
66,Buzz Clifford,67,Baby Sittin’ Boogie,1961
67,Del Shannon,68,Hats Off To Larry,1961
68,Caesar and The Romans,69,Those Oldies But Goodies,1961
69,Chubby Checker,70,The Fly,1961
70,Elvis Presley,71,(Marie’s The Name) His Latest Flame,1961
71,Bert Kaempfert and His Orch.,72,Wonderland By Night,1961
72,Tony Orlando,73,Bless You,1961
73,Linda Scott,74,I’ve Told Every Little Star,1961
74,Bobby Lewis,75,One Track Mind,1961
75,Rosie and The Originals,76,Angel Baby,1961
76,Curtis Lee,77,Pretty Little Angel Eyes,1961
77,Brook Benton,78,Think Twice,1961
78,Lonnie Donegan,79,Does Your Chewing Gum Lose Its Flavor (On The Bedpost Overnight),1961
79,Connie Francis,80,Breakin’ In A Brand New Broken Heart,1961
80,Shirelles,81,Mama Said,1961
81,Fats Domino,82,Let The Four Winds Blow,1961
82,Adam Wade,83,The Writing On The Wall,1961
83,Matt Monroe,84,My Kind Of Girl,1961
84,Paul Anka,85,"Tonight My Love, Tonight",1961
85,Jimmy Dean,86,Big Bad John,1961
86,Bobby Rydell,87,Good Time Baby,1961
87,Floyd Cramer,88,San Antonio Rose,1961
88,Bobby Vee,89,Rubber Ball,1961
89,Ray Peterson,90,Missing You,1961
90,Brenda Lee,91,Dum Dum,1961
91,Eddie Hodges,92,I’m Gonna Knock On Your Door,1961
92,Brenda Lee,93,You Can Depend On Me,1961
